id,usuario,perfil,modulo,acao,descricao,data_hora,ip
1,admin,Administrador,Login,Acesso,Login realizado com sucesso,03/07/2026 13:59:22,
2,admin,Administrador,Login,Acesso,Login realizado com sucesso,03/07/2026 17:26:30,
3,sistema,,Login,Recuperação de senha,Senha de '_teste_recuperacao' redefinida via código de recuperação,06/07/2026 11:00:44,
4,admin,Administrador,Login,Acesso,Login realizado com sucesso,06/07/2026 11:59:32,
5,admin,Administrador,Login,Acesso,Login realizado com sucesso,06/07/2026 12:01:45,
6,admin,Administrador,Login,Acesso,Login realizado com sucesso,06/07/2026 12:02:28,
7,admin,Administrador,Login,Acesso,Login realizado com sucesso,06/07/2026 12:02:53,
8,admin,Administrador,Login,Acesso,Login realizado com sucesso,06/07/2026 12:05:45,
9,admin,Administrador,Login,Acesso,Login realizado com sucesso,06/07/2026 12:06:26,
10,sistema,,Login,Falha,Tentativa de login falhou para o usuário 'admin',06/07/2026 13:45:24,
11,admin,Administrador,Login,Acesso,Login realizado com sucesso,06/07/2026 13:45:45,
12,admin,Administrador,Login,Acesso,Login realizado com sucesso,06/07/2026 13:46:16,
13,sistema,,Login,Falha,Tentativa de login com usuário inexistente: 'fernando',06/07/2026 16:57:02,
14,sistema,,Login,Falha,Tentativa de login com usuário inexistente: 'fernando',06/07/2026 16:57:03,
15,sistema,,Login,Falha,Tentativa de login com usuário inexistente: 'fernando',06/07/2026 16:58:02,
16,admin,Administrador,Login,Acesso,Login realizado com sucesso,06/07/2026 16:58:12,
